Month,Mean Ride Length,Max Ride Length,Mode of Day of Week
January,0:13:00,23 days 8:03:44,Tuesday
February,0:13:31,13 days 2:25:46,Tuesday
March,0:13:04,11 days 16:08:04,Wednesday
April,0:17:12,12 days 18:35:29,Saturday
May,0:19:02,20 days 6:50:31,Tuesday
June,0:19:59,20 days 11:05:58,Friday
July,0:21:44,35 days 17:41:24,Saturday
August,0:22:25,68 days 9:29:04,Wednesday
September,0:17:52,1 day 1:07:46,Saturday
October,0:15:41,1 day 0:59:57,Tuesday
November,0:13:49,1 day 1:00:25,Thursday
""
Across Whole Year,0:17:02,68 days 9:29:04,Tuesday
