Month,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
January,0,0,0,0,14%,14%,14%,14%,0,0,< 1%,< 1%,0
February,0,0,0,0,13%,13%,14%,14%,0,0,< 1%,< 1%,0
March,0,0,0,0,13%,13%,14%,14%,0,0,< 1%,< 1%,0
April,0,0,0,0,14%,14%,16%,16%,0,0,< 1%,< 1%,0
May,0,0,0,0,14%,14%,15%,15%,0,0,< 1%,< 1%,0
June,0,0,0,0,16%,16%,17%,17%,0,0,< 1%,< 1%,0
July,0,0,0,0,16%,16%,16%,16%,0,0,< 1%,< 1%,0
August,0,0,0,0,15%,15%,16%,16%,0,0,< 1%,< 1%,0
September,0,0,0,0,15%,15%,16%,16%,0,0,< 1%,< 1%,0
October,0,0,0,0,15%,15%,16%,16%,0,0,< 1%,< 1%,0
November,0,0,0,0,15%,15%,15%,15%,0,0,< 1%,< 1%,0
