"Month","Mean_Casual","Mean_Member","Max_Casual","Max_Member"
"Jan","00:22:54","00:10:21","23 days","1 days"
"Feb","00:23:11","00:10:42","13 days","1 days"
"Mar","00:21:24","00:10:26","11 days","1 days"
"Apr","00:27:40","00:11:41","12 days","1 days"
"May","00:28:31","00:13:02","20 days","1 days"
"Jun","00:29:24","00:13:12","20 days","1 days"
"Jul","00:32:20","00:13:41","35 days","1 days"
"Aug","00:35:14","00:13:46","68 days","1 days"
"Sep","00:25:11","00:13:08","1 days","1 days"
"Oct","00:22:52","00:12:09","1 days","1 days"
"Nov","00:19:54","00:11:34","1 days","1 days"
"Dec","00:19:56","00:11:26","1 days","1 days"
"Year 2023","00:28:14","00:12:31","68 days","1 days"
