"month","ride_id_null","rideable_type_null","started_at_null","ended_at_null","start_station_name_null","start_station_id_null","end_station_name_null","end_station_id_null","start_lat_null","start_lng_null","end_lat_null","end_lng_null","member_casual_null"
"Jan","0","0","0","0","14","14","15","15","0","0","0.07","0.07","0"
"Feb","0","0","0","0","13","13","14","14","0","0","0.06","0.06","0"
"Mar","0","0","0","0","14","14","15","15","0","0","0.07","0.07","0"
"Apr","0","0","0","0","15","15","16","16","0","0","0.10","0.10","0"
"May","0","0","0","0","15","15","16","16","0","0","0.12","0.12","0"
"Jun","0","0","0","0","16","16","17","17","0","0","0.12","0.12","0"
"Jul","0","0","0","0","16","16","17","17","0","0","0.16","0.16","0"
"Aug","0","0","0","0","15","15","16","16","0","0","0.16","0.16","0"
"Sep","0","0","0","0","15","15","16","16","0","0","0.13","0.13","0"
"Oct","0","0","0","0","16","16","17","17","0","0","0.11","0.11","0"
"Nov","0","0","0","0","15","15","16","16","0","0","0.10","0.10","0"
"Dec","0","0","0","0","16","16","17","17","0","0","0.11","0.11","0"
