"month","ride_id_uni","rideable_type_uni","started_at_uni","ended_at_uni","start_station_name_uni","start_station_id_uni","end_station_name_uni","end_station_id_uni","start_lat_uni","start_lng_uni","end_lat_uni","end_lng_uni","member_casual_uni"
"Apr","426590","3","368670","369541","1070","1033","1072","1038","151510","149608","959","949","2"
"Aug","771693","3","623338","624230","1269","1232","1276","1242","199482","194875","1580","1574","2"
"Dec","224073","2","208086","208451","1101","1082","1075","1059","78797","78096","1120","1111","2"
"Feb","190445","3","177594","177893","974","956","966","950","65117","64977","874","863","2"
"Jan","190301","3","178872","179025","965","945","963","943","63345","63144","853","840","2"
"Jul","767650","3","617777","619777","1254","1224","1251","1222","215598","210238","1567","1556","2"
"Jun","719618","3","582784","585169","1273","1233","1265","1229","223893","218869","9662","9706","2"
"Mar","258678","3","238046","238406","989","970","1003","980","97749","97276","906","894","2"
"May","604827","3","503683","505259","1288","1251","1255","1211","188593","185410","4760","4763","2"
"Nov","362518","2","321404","321854","1141","1125","1142","1122","119033","117725","1196","1188","2"
"Oct","537113","2","455774","457174","1190","1171","1175","1156","159158","156798","1232","1226","2"
"Sep","666371","2","547881","549050","1269","1242","1270","1241","182487","179399","1335","1327","2"
